startup_name,sector,city,total_raised,total_rounds,latest_round,last_raise,months_since_raise,recency_score,momentum_score,scale_score,stage_score_norm,health_score,risk_flag
Paytm,FinTech,Noida,3599933000.0,7,Seed,2019-11-25,1.6,97.38562091503267,87.5,83.69118957151174,16.666666666666664,76.0,HEALTHY
Blackbuck,Transport,Bengaluru,268380000.0,6,Series D,2019-05-01,8.6,85.94771241830065,75.0,6.239294302755724,83.33333333333334,66.7,STABLE
Cardekho,E-Commerce,Gurgaon,200000000.0,4,Series D,2019-12-06,1.3,97.87581699346406,50.0,4.649597065918268,83.33333333333334,64.4,STABLE
Moglix,E-Commerce,Singapore,76200000.0,5,Series D,2019-07-11,6.2,89.86928104575163,62.5,1.77149648211486,83.33333333333334,64.1,STABLE
Rapido Bike Taxi,Transportation,Bengaluru,3900000000.0,1,Series B,2019-08-27,4.6,92.48366013071896,12.5,90.66714278540621,50.0,63.6,STABLE
Goqii,Health and Wellness,Menlo Park,463400000.0,5,Series C,2019-09-04,4.4,92.81045751633987,62.5,10.773116401732626,66.66666666666666,63.6,STABLE
Ola Cabs,Transport,Kormangala,669700000.0,8,Other,2019-07-03,6.5,89.37908496732027,100.0,15.569175775227318,16.666666666666664,62.7,STABLE
Unacademy,Edtech,Bengaluru,731033000.0,4,Series D,2019-04-10,9.3,84.80392156862744,50.0,16.995044459447143,83.33333333333334,62.2,STABLE
Swiggy,Food and Beverages,Bengaluru,410754000.0,8,Series C,2018-02-07,23.5,61.60130718954249,100.0,9.549202966070961,66.66666666666666,61.8,MEDIUM RISK - No raise in 18+ months
Uniphore,Customer Service Platform,Palo Alto,97880000.0,5,Series C,2019-08-13,5.1,91.66666666666667,62.5,2.2755128040604,66.66666666666666,61.5,STABLE
Shuttl,Transportation,Gurgaon,44048394.0,4,Series C,2020-01-13,0.0,100.0,50.0,1.024036417504059,66.66666666666666,61.0,STABLE
Mamaearth,E-commerce,Bengaluru,22358860.0,5,Series B,2020-01-09,0.1,99.83660130718954,62.5,0.5197984492663865,50.0,60.7,STABLE
Healthians,B2B-focused foodtech startup,Bengaluru,27000000.0,4,Series C,2019-12-17,0.9,98.52941176470588,50.0,0.6276956038989662,66.66666666666666,60.4,STABLE
Udaan,B2B,Bengaluru,1199230000.0,4,Series A,2019-10-02,3.4,94.44444444444444,50.0,27.879681446805822,33.33333333333333,57.8,STABLE
Lendingkart,Finance,Bengaluru,146150000.0,6,Private Equity,2018-02-12,23.3,61.9281045751634,75.0,3.397693055919774,83.33333333333334,57.8,MEDIUM RISK - No raise in 18+ months
Zomato,Hospitality,Gurgaon,709447000.0,4,Series A,2020-01-10,0.1,99.83660130718954,50.0,16.493213448122585,33.33333333333333,57.4,STABLE
Flipkart,eCommerce,Bengaluru,4301448000.0,5,Pre-Series A,2017-08-11,29.5,51.79738562091504,62.5,100.0,16.666666666666664,57.1,HIGH RISK - No raise in 24+ months
Zilingo,Ecommerce,India/Singapore,235900000.0,3,Series D,2019-02-08,11.3,81.5359477124183,37.5,5.484199739250597,83.33333333333334,55.7,STABLE
Meesho,E-Commerce,Bengaluru,299919000.0,6,Seed,2019-08-12,5.1,91.66666666666667,75.0,6.972512512065704,16.666666666666664,55.6,STABLE
Droom,Automobile,Gurgaon,23000000.0,3,Series E,2018-10-05,15.5,74.67320261437908,37.5,0.5347036625806008,100.0,55.6,STABLE
Capital Float,Finance,Bengaluru,64800000.0,5,Private Equity,2018-04-23,21.0,65.68627450980392,62.5,1.5064694493575186,83.33333333333334,55.6,MEDIUM RISK - No raise in 18+ months
Coverfox,Consumer Internet,Mumbai,58600000.0,5,Private Equity,2018-04-18,21.2,65.359477124183,62.5,1.3623319403140524,83.33333333333334,55.4,MEDIUM RISK - No raise in 18+ months
Eazydiner,Consumer Internet,Gurgaon,8850000.0,4,Private Equity,2018-08-17,17.1,72.05882352941177,50.0,0.20574467016688333,83.33333333333334,54.4,STABLE
Ofbusiness,Finance,Gurgaon,48900000.0,4,Private Equity,2018-07-17,18.2,70.26143790849673,50.0,1.1368264826170165,83.33333333333334,54.0,MEDIUM RISK - No raise in 18+ months
Indus Os,Tech,Andheri,14750000.0,4,Series B,2019-07-10,6.2,89.86928104575163,50.0,0.3429077836114722,50.0,54.0,STABLE
Oyo Rooms,Consumer Internet,Gurgaon,635000000.0,5,Private Equity,2017-09-13,28.4,53.59477124183007,62.5,14.762470684290498,83.33333333333334,54.0,HIGH RISK - No raise in 24+ months
Ather Energy,Automobile,Bengaluru,90000000.0,3,Series C,2019-05-28,7.7,87.41830065359477,37.5,2.0923186796632205,66.66666666666666,53.7,STABLE
Nobroker,E-Commerce,Bengaluru,145119000.0,6,Seed,2019-06-05,7.4,87.90849673202615,75.0,3.3737243830449652,16.666666666666664,53.5,STABLE
Aye Finance,FinTech,Gurgaon,41551265.0,5,Other,2019-11-20,1.8,97.05882352941177,62.5,0.965983199145962,16.666666666666664,53.1,STABLE
