startup_name,last_raise,sector,city,total_raised
Violetstreet,2015-01-02,,,315000.0
#Fame,2015-01-05,,,10000000.0
Purplle.Com,2015-01-06,,,0.0
Near.In,2015-01-06,,,285000.0
Frankly,2015-01-06,,,600000.0
Numbermall,2015-01-06,,,10000000.0
Tookitaki,2015-01-06,,,1000000.0
Bewakoof,2015-01-07,,,0.0
Commonfloor,2015-01-07,,,5000000.0
Stridalyzer,2015-01-07,,,30768.0
Tapcibo,2015-01-09,,,0.0
Sokrati,2015-01-09,,,0.0
Verayu,2015-01-12,,,0.0
Rategain,2015-01-14,,,50000000.0
Hostel Dunia,2015-01-19,,,16000.0
Enabli,2015-01-19,,,16000.0
Ping Digital,2015-01-19,,,0.0
Yo Grad,2015-01-19,,,16000.0
Refiral,2015-01-19,,,330000.0
Cbs,2015-01-19,,,16000.0
Healthyworld.In,2015-01-20,,,400000.0
Mydreamstore,2015-01-21,,,615000.0
Freshmonk,2015-01-22,,,0.0
Englishleap.Com,2015-01-22,,,0.0
Antuit,2015-01-22,,,56000000.0
Caratlane.Com,2015-01-22,,,31000000.0
Impartus,2015-01-24,,,0.0
Thrill App,2015-01-25,,,1000000.0
Grabhouse.Com,2015-01-28,,,2500000.0
Printvenue,2015-01-29,,,4500000.0
Graphene,2015-01-29,,,825000.0
Simplotel,2015-01-30,,,0.0
Couponmachine.In,2015-01-31,,,140000.0
Cleversharks,2015-02-02,,,16600.0
Dealwithus,2015-02-02,,,16600.0
Smartpocket,2015-02-02,,,250000.0
Leaf,2015-02-02,,,16600.0
Chloroplast Foods,2015-02-02,,,16600.0
Instabounce,2015-02-02,,,16600.0
Faaya,2015-02-02,,,16600.0
Frsh.Co.In,2015-02-03,,,518000.0
Manthan,2015-02-03,,,60000000.0
Culture Machine,2015-02-05,,,18000000.0
Kobster.Com,2015-02-05,,,0.0
Aisle.Co,2015-02-05,,,100000.0
Newshunt,2015-02-06,,,40000000.0
Faaso\\Xe2\\X80\\X99S,2015-02-09,,,20000000.0
Cardekho.Com,2015-02-09,,,50000000.0
Mynoticeperiod,2015-02-09,,,3000000.0
Cartrade.Com,2015-02-10,,,0.0
Nimble Wireless,2015-02-11,,,3000000.0
Itzcash,2015-02-13,,,16500000.0
Cimplyfive,2015-02-13,,,0.0
20Dresses,2015-02-13,,,1000000.0
Itraveller.Com,2015-02-16,,,1000000.0
Newsinshorts,2015-02-16,,,4150000.0
Nextgen,2015-02-17,,,0.0
Wooplr.Com,2015-02-18,,,5000000.0
Klip.In,2015-02-20,,,500000.0
Appbase,2015-02-21,,,290000.0
Smartairtrip.Com,2015-02-23,,,10000000.0
Trip38,2015-02-23,,,1000000.0
Caravan Craft Retail,2015-02-24,,,500000.0
Clonect Solutions,2015-02-25,,,250000.0
Freshworld,2015-02-26,,,0.0
Momoe,2015-02-27,,,1200000.0
Trulymadly.Com,2015-03-02,,,5500000.0
Intruo.Com,2015-03-03,,,0.0
Vserv,2015-03-03,,,15000000.0
Niffler,2015-03-05,,,1000000.0
Customfurnish.Com,2015-03-05,,,2500000.0
Mapmygenome,2015-03-06,,,1200000.0
Crowdfire (Formerly Justunfollow),2015-03-09,,,2500000.0
Bite Club,2015-03-09,,,500000.0
Localbanya,2015-03-10,,,0.0
Groupon India,2015-03-11,,,20000000.0
Appedo,2015-03-11,,,1000000.0
Fitraq.Com,2015-03-11,,,150000.0
Moonfrog Labs,2015-03-12,,,15000000.0
Diabetomics,2015-03-13,,,5000000.0
Qyk,2015-03-13,,,0.0
Daily Rounds,2015-03-14,,,500000.0
Routofy,2015-03-14,,,0.0
The Better India,2015-03-16,,,166000.0
Digital Gorkha,2015-03-16,,,166000.0
Wwhere,2015-03-18,,,200000.0
Drivestream,2015-03-18,,,5000000.0
Graphic India,2015-03-19,,,2800000.0
Lets Corp,2015-03-20,,,3000000.0
Mahindra First Choice,2015-03-20,,,15000000.0
Harness Handitouch,2015-03-20,,,0.0
Collatebox,2015-03-20,,,180000.0
Round One,2015-03-21,,,0.0
Mosambee,2015-03-23,,,0.0
Cubito,2015-03-24,,,160000.0
Rozgar Mela,2015-03-25,,,0.0
Fxkart.Com,2015-03-25,,,2000000.0
Artoo,2015-03-25,,,500000.0
Roposo.Com,2015-03-26,,,5000000.0
Teewe,2015-03-26,,,1750000.0
Urjas,2015-03-27,,,100000.0
Chargein,2015-03-27,,,100000.0
Team Indus,2015-03-28,,,1500000.0
Yogurt Labs,2015-03-28,,,115000.0
Limeroad.Com,2015-03-28,,,30000000.0
Billdesk,2015-03-30,,,75000000.0
Arohan Financial Services,2015-03-30,,,10000000.0
Aryaka,2015-03-31,,,16000000.0
Triphobo,2015-03-31,,,3000000.0
Bluegape,2015-04-04,Web Content Publishing,Gurgaon,200000.0
Keeptrax,2015-04-04,Location Based App,Dallas / Hyderabad,1000000.0
Instalively,2015-04-06,Video Streaming,Delhi,240000.0
Pressplay,2015-04-07,Travel Entertainment,Delhi,2200000.0
Pricejugaad,2015-04-07,Price Comparison,Hyderabad,165000.0
Firstcry.Com,2015-04-08,eCommerce,Pune,10000000.0
Olacabs,2015-04-08,Cab Aggregator,Bengaluru,400000000.0
Purple Squirrel,2015-04-09,Ed-Tech,Mumbai,0.0
Changer Mints,2015-04-09,Digital / Mobile Wallet,Kolkata,165000.0
Immi Life,2015-04-10,Mobile Health Tech,Chennai,0.0
Zopnow,2015-04-13,Online Grocer,Bengaluru,10000000.0
Nayi Disha,2015-04-13,Ed-Tech,Delhi,300000.0
Commeasure,2015-04-13,Online Hotel Booking,Noida,1000000.0
Localoye,2015-04-14,Hyper-local Online Services,Mumbai,5000000.0
Robosoft,2015-04-17,Mobile App Development,Udupi,12000000.0
Pastiwala,2015-04-20,Material Collection & Recycling,Vadodara,4000000.0
Sulekha.Com,2015-04-20,Online Classifieds & Listings,Chennai,28000000.0
1Mg (Healthkartplus),2015-04-20,Online Pharmacy & Drug DB,Gurgaon,6000000.0
Eat.Shop.Love,2015-04-22,Fashion ECommerce,Bengaluru,3500000.0
Craftstvilla,2015-04-23,Ethnic Product eCommerce,Mumbai,18000000.0
Headout,2015-04-23,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,1800000.0
Phone Warrior,2015-04-23,Spam Call block App,Delhi,0.0
Gibbs,2015-04-27,Clean Tech,Delhi,0.0
Logicroots,2015-04-27,Interactive Educational Games,Jaipur,400000.0
Torqus,2015-04-27,Restaurant Management Platform,Pune,350000.0
Naaptol.Com,2015-04-28,Tele-Shopping / eCommerce,Mumbai,21500000.0
Babajobs,2015-04-28,Grey collar Job Board,Bengaluru,10000000.0
Jay Robotix,2015-04-28,Robotic Program learning,Hyderabad,250000.0
Tradelab,2015-04-29,Financial Markets Software,Bengaluru,400000.0
