sector,total_funding,deal_count
Consumer Internet,6253084245.0,941
eCommerce,5002533000.0,186
Transportation,3916632394.0,4
FoodTech,3477282000.0,80
FinTech,2852086265.0,82
Consumer Electronics,2703489000.0,87
Retail,2674674000.0,90
Mobility,2460096000.0,86
Media,2292984000.0,86
Technology,2229707930.0,478
AgriTech,2142559000.0,82
Finance,1971438000.0,62
ECommerce,1878797608.0,61
E-commerce,1847117020.0,102
SaaS,1795119000.0,75
EdTech,1778545605.0,81
HealthTech,1623517000.0,76
Logistics,1614894000.0,89
Enterprise,1414032000.0,66
RealEstate,1267432000.0,79
E-Commerce,1008110064.54,29
Online Marketplace,700143000.0,2
E-Commerce & M-Commerce platform,680000000.0,1
B2B,587000000.0,2
Car Aggregator & Retail Mobile App,500000000.0,1
Ecommerce Marketplace,500000000.0,1
Health and Wellness,490200000.0,5
Cab Aggregator,400000000.0,1
Healthcare,381218000.0,70
Education,301143000.0,24
Food and Beverages,300311200.0,3
Automation,300000000.0,1
Last Mile Transportation,283300000.0,2
Ecommerce,280300000.0,8
Hospitality,250000000.0,2
Cab rental Mobile app,225000000.0,2
B2B Platform,225000000.0,1
E-Tech,200000000.0,1
Software,179500000.0,2
Automobile,164000000.0,3
Transport,152000000.0,4
Online Classifieds,150000000.0,1
Fin-Tech,140700000.0,6
Agtech,140000000.0,1
Logistics Solution Provider,137000000.0,1
Online Food Delivery,121500000.0,5
Hyper-local Grocery Delivery platform,120000000.0,1
Mobile Advertising platform,100000000.0,1
Budget Hotel accommodation brand,100000000.0,1
Online home d\\xc3\\xa9cor marketplace,100000000.0,1
Budget Hotel Accommodation,100000000.0,1
Music Streaming App,100000000.0,1
Doctor Appointment booking app,90000000.0,1
Ecommerce Logistics,85000000.0,1
Private label Fashion eTailer,75000000.0,1
Peer-to-Peer Money Transfer & Recharge App,70000000.0,1
Business and IT consulting,63000000.0,1
Restaurant Ratings & Reviews platform,60000000.0,1
Online Financial Services,60000000.0,1
Online & Mobile classified listings,60000000.0,1
Online and TV Shopping Marketplace,52000000.0,1
Customer Service Platform,51000000.0,1
Gaming,50500000.0,2
Online Pharmacy,50000000.0,1
Online & mobile Grocery store,50000000.0,1
Services Platform,50000000.0,1
Online / Mobile Customer Support,50000000.0,1
Online Furnishing\\neCommerce,50000000.0,1
Aerospace,50000000.0,1
Home Furnishing Solutions,50000000.0,1
Hyperlocal Deals Marketplace,50000000.0,1
eCommerce platform,50000000.0,1
Saas,50000000.0,1
Cloud software solutions,45000000.0,1
Customer Service,45000000.0,1
Hyper-Local Online/Mobile Grocery,45000000.0,2
Online budget hotel chain,45000000.0,2
Big Data & Analytics platform,43000000.0,3
Food & Beverage,42236000.0,23
Information Technology,41580000.0,3
Small Business Financing (NBFC),40000000.0,1
Off-grid Solar Power,40000000.0,1
Online Lingerie Marketplace,40000000.0,1
Online Policy Aggregator,40000000.0,1
Artificial Intelligence,38080000.0,1
Home Medical Care Services,37500000.0,1
healthcare,37000000.0,1
Automotive,37000000.0,1
Hyperlocal Grocery Delivery,36000000.0,1
Big Data & Analytics Services,35000000.0,1
Women Ethnic Wear\\xc2\\xa0 Online Marketplace,34000000.0,1
IT,33880000.0,8
Ed-Tech,33548640.0,14
Logistics Tech,32680000.0,5
Investment,31000000.0,1
Cab Booking app platform,30000000.0,1
QSR Chain,30000000.0,1
Logistics Services Provider,30000000.0,1
Fine Dining Restaurant Chain,30000000.0,1
Ethnic Beverages manufacturer,30000000.0,1
Automated Storage & Warehousing Solution,30000000.0,1
Real Estate,29500000.0,6
Online Classifieds & Listings,28000000.0,1
NBFC,27799000.0,1
Education Content Provider,27000000.0,1
Waste Management Service,26868600.0,2
Home services marketplace,26500000.0,2
Energy,26000000.0,1
B2B Marketing,26000000.0,1
Digital / Mobile Wallet,25165000.0,2
Online Freight Services Aggregator,25000000.0,1
Financial Inclusion platform,25000000.0,1
Mobile Services Marketplace,25000000.0,1
Mobile Point of Sale payment solution,25000000.0,1
Mobile based PoS solution,25000000.0,1
Restaurant Reviews,25000000.0,1
Payments Solution platform,25000000.0,1
Food and Beverage,22828995.0,6
Tech,21750000.0,2
Tele-Shopping / eCommerce,21500000.0,1
Online Wedding Marketplace,20000000.0,1
Delivery & Logistics Service provider,20000000.0,1
Online Furniture Marketplace,20000000.0,1
Clinical Genomics Provider,20000000.0,1
Hyperlocal Shopping App,20000000.0,1
App based Bus Pooling Services,20000000.0,1
engineering services company,20000000.0,1
Others,19188000.0,6
Ethnic Product eCommerce,18000000.0,1
IoT,18000000.0,1
Online Education Platform,17000000.0,5
Efficient Energy Management platform,16600000.0,1
Online Food Ordering,16500000.0,1
Used Vehicle Marketplace,16000000.0,1
Business Messaging App,16000000.0,1
Global Healthcare products,16000000.0,1
Hyper-Local Ecommerce,16000000.0,1
Digital Media,15539700.0,2
Fashion Discovery platform,15350000.0,2
Used Bikes Marketplace,15000000.0,1
Banking Analytics Platform,15000000.0,1
Online Certification Courses,15000000.0,1
SaaS product intelligence platform,15000000.0,1
Used Vehicles Marketplace,15000000.0,1
Fashion jewelry and accessories e-tailer,15000000.0,1
Travel information portal,15000000.0,1
Premium dining Lounges & restaurants,15000000.0,1
mobile-only tasks marketplace,15000000.0,1
Data Center Software platform,15000000.0,1
IT infrastructure & Data Center services,13500000.0,1
Fitness Tracking Management Solutions,13400000.0,1
Lifestyle,13000000.0,1
Luxury Rental Homes,12750000.0,1
Sales & Productivity Software,12500000.0,1
B2B-focused foodtech startup,12000000.0,1
Mobile App Development,12000000.0,1
Electric Scooter Manufacturer,12000000.0,1
Online Insurance Aggregator,12000000.0,1
Hyper local logistics platform,11000000.0,1
Self-driven vehicle rental,11000000.0,1
Financial Services Platform,11000000.0,1
Food,10500000.0,3
Healthcare Mobile App,10200000.0,1
Hyperlocal services marketplace,10000000.0,2
Trucking Logistic Operations,10000000.0,1
Healthcare IT Solutions & services,10000000.0,1
Grey collar Job Board,10000000.0,1
Healthcare\\nService provider,10000000.0,1
Food Subscription platform,10000000.0,1
Autorickshaw Aggregator & Booking platform,10000000.0,1
Online Grocer,10000000.0,1
Rental Accommodation Search platform,10000000.0,1
Consumer Technology,10000000.0,1
Hyperlocal Logistics Service,10000000.0,1
Online comparison engine,10000000.0,1
Online Finance lending platform,10000000.0,1
Startup funding platform,10000000.0,1
End-to-end Logistics platform,10000000.0,1
Sports Management & Physical Education Business,10000000.0,1
Supply Chain & Logistics Solutions,10000000.0,1
User Engagment & Analytics platform,9600000.0,1
Beauty & Wellness Products e-tailer,9500000.0,1
Industrial Tools Marketplace,9200000.0,1
Hyperlocal Delivery Services,9000000.0,1
Online Payment Gateway,9000000.0,2
Ecommerce Delivery locker services,9000000.0,1
Micro Finance Platform,8600000.0,1
Dental Clinic chain,8200000.0,1
Online Travel Marketplace,8000000.0,1
End-to-End Lending platform,8000000.0,1
Home Design & D\\xc3\\xa9cor solutions,8000000.0,1
Gesture based Mobile Development,7700000.0,1
Designer fashion Jewellery Marketplace,7500000.0,1
Credit Card Fraud protection solutions,7500000.0,1
Food Discovery & Delivery Mobile app,7500000.0,1
Tech Recruitment platform,7500000.0,1
Celebrity Fashion Brand,7500000.0,1
Last Mile Delivery Service,7000000.0,1
Edtech,6627820.0,2
Mobile Wallet,6600000.0,1
Language Learning App,6500000.0,1
Healthy Food Manufacturer,6000000.0,1
Freight logistics platform,6000000.0,1
Online Budget Hotel Booking Service,6000000.0,1
Online Homeopathy Clinic,6000000.0,1
Cloud Enterprise Software,6000000.0,1
Online Pharmacy & Drug DB,6000000.0,1
Ready to cook packaged Foods,6000000.0,1
Real Estate Advisory,6000000.0,1
"Advertising, Marketing",6000000.0,1
Spa & Salon Management Software,6000000.0,1
Mobile Payments App,6000000.0,1
Social Media,5991375.0,3
Travel Tech,5800000.0,2
Transportation & Logistics Platform,5600000.0,1
Hyperlocal Mobile Marketplace,5500000.0,1
Used Car Marketplace,5500000.0,2
Self-driven Car rental,5000000.0,1
ECommerce Logistics provider,5000000.0,1
Auto Rickshaw Based Services,5000000.0,1
Online Logistics Platform,5000000.0,2
Real Estate Rating & Analysis,5000000.0,1
Fashion Ecommerce store,5000000.0,1
IT / Customer Engagement Consulting,5000000.0,1
B2B eCommerce Marketplace,5000000.0,1
Accounting,5000000.0,1
Lifestyle Ecommerce Portal,5000000.0,1
Online Branded Furniture etailer,5000000.0,1
Big Data Management Platform,5000000.0,1
Affordable Hotel Booking Online,5000000.0,1
Alternate Mobile Monetization platform,5000000.0,1
Data Driven recruitment recommendation,5000000.0,1
Private Label lingerie Ecommerce,5000000.0,1
Hyper-local Online Services,5000000.0,1
Food Delivery Platform,4850000.0,3
Payment Solutions platform,4850000.0,1
Custom Made furniture e-tailer,4500000.0,1
Publishing,4300000.0,1
Mobile Marketing Automation Platform,4250000.0,1
Data Analytics Platform,4200000.0,1
Cross-channel CRM platform,4000000.0,1
Online Learning Platform,4000000.0,1
Hyperlocal\\xc2\\xa0 Grocery Delivery Service,4000000.0,1
Language Localization Cloud platform,4000000.0,1
Material Collection & Recycling,4000000.0,1
Viral Content web Platform,4000000.0,1
Mobile Commerce for Farmers,4000000.0,1
Services,3900000.0,3
Ecommerce Discount & Cashback coupons platform,3700000.0,1
Fashion ECommerce,3500000.0,1
Modular Furnishings Marketplace,3500000.0,1
"SaaS, Ecommerce",3500000.0,1
Fintech,3500000.0,1
Startup Analytics platform,3500000.0,1
Financial Tech,3400000.0,2
Data Driven Publishing platform,3300000.0,1
Agriculture,3239034.68,2
Food & Beverages,3175000.0,3
Performance Optimization Platform for athletes,3000000.0,1
Hyperlocal Handyman services,3000000.0,1
Real Estate Intelligence Platform,3000000.0,1
E-Learning Service Provider,3000000.0,1
Nonbanking finance company,3000000.0,1
3D Printer Manufacturer,3000000.0,1
B2C Messaging App,3000000.0,1
Mobile accessories online store,3000000.0,1
Financial Services Portal,3000000.0,1
Early Cancer Detection Solutions,3000000.0,1
Restaurant Reservation Platform,3000000.0,1
Budget Accommodation aggregator,3000000.0,1
Online Real Estate Marketplace,3000000.0,1
Online School for Analytics learning,3000000.0,1
Real Estate Mobile CRM,2950000.0,1
Fiinance,2800000.0,1
Hyperlocal Handyman Services,2650000.0,3
Mobile Messaging Assistant App,2500000.0,1
Flat rental Mobile App,2500000.0,1
Health Care,2500000.0,2
Deep-Tech,2500000.0,1
Entertainment,2500000.0,1
Mutual Fund Investing platform,2500000.0,1
Mobile Point of Sale solutions,2500000.0,1
Credit Management Services,2500000.0,1
conversational commerce mobile app,2500000.0,1
"Hyperlocal Maintenance, Repair & Cleaning services",2400000.0,1
Medical Tech Instruments,2400000.0,1
Business intelligence & Analytics,2400000.0,1
Restaurant customer engagement platform,2300000.0,1
Digital & Physical Publishing platform,2250000.0,1
Photographer Online search & booking platform,2200000.0,1
Travel Entertainment,2200000.0,1
ecommerce,2080000.0,3
Product discovery & recommendation platform,2000000.0,1
Video,2000000.0,1
Home Cooked Food Order & Delivery platform,2000000.0,1
Hasbro Toy Manufacturer,2000000.0,1
Mobile Laundry Cleaning Service,2000000.0,1
Beauty & Lifestyle Mobile Marketplace,2000000.0,1
Self Driven Rental Car Platform,2000000.0,1
Online Insurance Distribution Platform,2000000.0,1
"Online Furniture, Home Appliances Rental Platform",2000000.0,1
Ed-tech,2000000.0,1
Cloud Data Integration Platform,2000000.0,1
Online Security Platform,2000000.0,1
Digital Healthcare,2000000.0,1
Online content platform for women,2000000.0,1
Cloud-based Hotel Booking Platform,2000000.0,1
Premium Beverages,2000000.0,1
Competitive exam learning platform,2000000.0,1
End to End reverse logistics Solution platform,2000000.0,1
Home Cooked Food marketplace & Delivery,2000000.0,1
On-demand Service marketplace,2000000.0,1
Solar Power Solutions company,2000000.0,1
Logistics Service Provider Marketplace,2000000.0,1
Sports Education Platform,2000000.0,1
Marketplace App for Bangkok,1900000.0,1
Dairy Based Product Manufacturer,1800000.0,1
Online Grocery platform,1800000.0,2
Last Minute Travel Deals mobile marketplace,1800000.0,1
Fashion and Apparel,1800000.0,1
Data Science & UX design Learning platform,1700000.0,1
Logistics Tech Platform,1610000.0,2
Quick Service Restaurant Chain,1600000.0,1
F&B sector Mobile Payment platform,1600000.0,1
Mobile Chat based concierge service,1600000.0,1
Hyperlocal Mobile Services Marketplace,1600000.0,1
Micro-Brewery,1530000.0,1
Skill Training Startup,1500000.0,1
Wealth Management Platform,1500000.0,1
Private Coaching Centers,1500000.0,1
Last Minute Hotel Booking App,1500000.0,1
Mobile App based Loan disbursement platform,1500000.0,1
Two-Wheeler Taxi Service,1450000.0,2
Health-Tech platform,1305000.0,2
On-Demand Delivery Logistics,1300000.0,1
Hyperlocal food & grocery store,1300000.0,1
Video Games,1300000.0,1
Online Kitchen Furniture,1250000.0,1
Electric Bike Manufacturers,1200000.0,1
OnDemand\\nMobile Handyman Services,1200000.0,1
Mobile App testing platform,1200000.0,1
Indian Ethnic Crafts Etailer,1200000.0,1
Virtual Health consultation app,1200000.0,1
Cross-device retargeting platform,1200000.0,1
Innovative Water Solutions,1200000.0,1
Online food ordering & Delivery service,1150000.0,2
Online Health & Wellness platform,1150000.0,1
Asset Financing platform,1100000.0,1
eCommece,1000000.0,1
mobile payment software platform,1000000.0,1
Advertising & Marketing Community Networking platform,1000000.0,1
Consumer internet,1000000.0,1
Corporate Wellness App,1000000.0,1
CRM / Analytics platform,1000000.0,1
Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,1000000.0,1
Budget Accommodation Platform,1000000.0,1
Structural & Civil Engg Service Automation,1000000.0,1
Beauty and Wellness Marketplace,1000000.0,1
Used Gadgets Buy / Refurbishing,1000000.0,1
Video Intelligence Platform,1000000.0,1
Hyperlocal healthcare product Delivery Service provider,1000000.0,1
Wedding Venues & Vendors Marketplace,1000000.0,1
Online Meat Ordering platform,1000000.0,1
Digital Signal processing platform,1000000.0,1
Online Product Comparison,1000000.0,1
Deep Learning Cloud Algorithms,1000000.0,1
Organic Food ecommerce,1000000.0,1
Online education marketplace,1000000.0,1
Personalized Styling platform,1000000.0,1
Custom Merchandize platform,1000000.0,1
Reality,1000000.0,1
Real Estate Broker network App,1000000.0,1
Online Consumer Lending platform,1000000.0,1
Online Education Information platform,1000000.0,1
Online Ed-Tech Platform,1000000.0,1
Online Fashion Video Portal,1000000.0,1
Online Home D\\xc3\\xa9cor,1000000.0,1
Online Hotel Booking,1000000.0,1
Mobile Game development & Design platform,1000000.0,1
Mobile Only Shopping Assistant,1000000.0,1
Fitness Marketplace,1000000.0,1
Offline Tea Chain,1000000.0,1
On-Demand App based Professional service provider,1000000.0,1
Location Based App,1000000.0,1
Mobile Fitness App,1000000.0,2
Luxury Label,1000000.0,1
Food Tech,1000000.0,1
Food Logistics & Delivery,1000000.0,1
Grocery Delivery platform,1000000.0,1
Marketing / Advertising Automation platform,1000000.0,1
Auto Rickshaw based Logistics,1000000.0,1
pre-used apparel shopping mobile app,1000000.0,1
API Workflow platform,1000000.0,1
visual search and discovery platform,1000000.0,1
Luxury goods\\xc2\\xa0 Shopping Platform,900000.0,1
Interactive\\xc2\\xa0 How-To Guides,900000.0,1
"virtual reality, 3d simulation and stereoscopic products",800000.0,1
Bike Rental Platform,790000.0,1
Tech Platform for property brokers,785000.0,1
Multilingual Test Preparation Platform,770000.0,1
Career Community for Women,770000.0,1
Job Search Platform,760000.0,2
Bus Aggregation and rental mobile app,750000.0,1
Artificial Intelligence platform,750000.0,1
Exclusive Platform for Doctors & Healthcare professionals,700000.0,1
Crowd funding platform,700000.0,1
Crowd Funding Platform,700000.0,1
fund raising platform for startups,650000.0,1
Affordable Education,650000.0,1
residential rental management platform,640000.0,1
