startup_name,total_rounds,first_round,last_round,total_raised
Swiggy,8,2015-04-03,2018-02-07,410754000.0
Ola Cabs,8,2015-07-01,2019-07-03,669700000.0
Paytm,7,2015-02-05,2019-11-25,3599933000.0
Holachef,6,2015-02-02,2018-02-13,8686200.0
Lenskart,6,2015-01-02,2018-04-19,658694000.0
Healthifyme,6,2015-05-08,2018-11-20,25000000.0
Meesho,6,2016-05-06,2019-08-12,299919000.0
Blackbuck,6,2015-12-10,2019-05-01,268380000.0
Medinfi,6,2015-11-20,2017-08-25,780000.0
Lendingkart,6,2015-07-08,2018-02-12,146150000.0
Nykaa,6,2015-10-05,2018-09-05,340893000.0
Urbanclap,6,2015-04-16,2017-06-30,60700000.0
Nobroker,6,2015-02-23,2019-06-05,145119000.0
Mamaearth,5,2016-12-21,2020-01-09,22358860.0
Grofers,5,2015-02-27,2019-08-19,297000000.0
Moglix,5,2015-10-29,2019-07-11,76200000.0
Toppr,5,2015-05-07,2019-04-10,26620820.0
Goqii,5,2015-07-03,2019-09-04,463400000.0
Razorpay,5,2015-03-23,2018-01-12,261690000.0
Byju\\Xe2\\X80\\X99S,5,2016-03-22,2017-07-25,175000000.0
Oyo Rooms,5,2015-03-25,2017-09-13,635000000.0
Capital Float,5,2015-02-11,2018-04-23,64800000.0
Coverfox,5,2015-04-24,2018-04-18,58600000.0
Jugnoo,5,2015-04-23,2016-04-18,26000000.0
Aye Finance,5,2015-12-09,2019-11-20,41551265.0
Flipkart,5,2015-06-04,2017-08-11,4301448000.0
Uniphore,5,2015-05-07,2019-08-13,97880000.0
Wooplr,4,2016-03-07,2017-04-20,8000000.0
Cleartax,4,2015-10-01,2016-06-17,305803000.0
Curefit,4,2016-07-04,2018-01-30,72986000.0
Milkbasket,4,2016-04-27,2018-11-12,11800000.0
Mobikwik,4,2015-04-08,2016-08-26,275346000.0
Nestaway,4,2015-03-16,2016-04-15,44050000.0
Yepme,4,2015-01-09,2017-05-20,88700000.0
Niki.Ai,4,2015-10-30,2017-06-28,2000000.0
Indus Os,4,2016-01-19,2019-07-10,14750000.0
Ofbusiness,4,2016-02-25,2018-07-17,48900000.0
Industrybuying,4,2015-02-25,2016-01-20,13000000.0
Ola,4,2015-11-18,2017-06-14,1354873000.0
Fynd,4,2017-03-28,2018-03-29,3400000.0
Peppertap,4,2015-02-25,2015-12-21,50000000.0
Railyatri,4,2015-06-30,2018-04-26,0.0
Rivigo,4,2015-12-17,2019-12-13,140000000.0
1Mg,4,2016-04-20,2018-04-27,40000000.0
Shuttl,4,2015-12-03,2020-01-13,44048394.0
Simplilearn,4,2015-01-21,2016-09-07,35750000.0
Bigbasket,4,2015-08-12,2018-02-01,566588000.0
Healthians,4,2016-10-24,2019-12-17,27000000.0
Tinystep,4,2016-01-19,2017-01-17,3580000.0
Tracxn,4,2015-04-29,2016-02-18,13500000.0
Udaan,4,2016-11-23,2019-10-02,1199230000.0
Unacademy,4,2016-05-12,2019-04-10,731033000.0
Urban Ladder,4,2015-04-09,2018-03-01,77200000.0
Voonik,4,2015-06-10,2017-02-09,34000000.0
Homelane,4,2015-02-23,2018-06-14,67950000.0
Vyomo,4,2015-04-20,2016-04-15,17000000.0
Zoctr,4,2015-07-28,2018-06-05,1000000.0
Zomato,4,2015-04-11,2020-01-10,709447000.0
Cardekho,4,2015-05-22,2019-12-06,200000000.0
Zoomcar,4,2015-05-28,2016-12-20,40000000.0
Magicpin,4,2016-02-22,2018-03-08,17600000.0
Licious,4,2015-09-24,2019-12-16,48231000.0
Eazydiner,4,2015-04-23,2018-08-17,8850000.0
Furlenco,4,2015-03-24,2017-12-11,42200000.0
Icertis,4,2015-04-29,2018-02-08,96000000.0
Workindia,3,2015-10-06,2016-11-18,500000.0
Findyahan,3,2015-02-11,2015-11-03,0.0
