SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
1,2015-02-01 00:00:00,LensKart,,,,"TPG Growth, TR Capital, IDG Ventures",Private Equity,2150000,
2,2015-02-01 00:00:00,VioletStreet,,,,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",Seed Funding,315000,
3,2015-05-01 00:00:00,Lookup,,,,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",Seed Funding,380000,
4,2015-05-01 00:00:00,#Fame,,,,TO THE NEW Ventures,Private Equity,10000000,
5,2015-05-01 00:00:00,Gympik,,,,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,135000,
6,2015-06-01 00:00:00,Near.in,,,,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,285000,
7,2015-06-01 00:00:00,Purplle.com,,,,IvyCap Ventures,Private Equity,,
8,2015-06-01 00:00:00,NumberMall,,,,SRI Capital,Private Equity,10000000,
9,2015-06-01 00:00:00,Tookitaki,,,,"Jungle Ventures, Redbright Partners, Blume Ventures",Private Equity,1000000,
10,2015-06-01 00:00:00,Frankly,,,,Matrix Partners,Seed Funding,600000,
11,2015-07-01 00:00:00,Faircent,,,,"Devesh Sachdev, Ashish Tiwari",Seed Funding,,Valuation at $4M
12,2015-07-01 00:00:00,Nurturey,,,,Seedrs Crowd funding platform,Crowd funding,125000,
13,2015-07-01 00:00:00,Bewakoof,,,,"Rohit Bansal, Kunal Bahl, Nikhil Vora",Seed Funding,,
14,2015-07-01 00:00:00,Stridalyzer,,,,Kickstarter,Crowd Funding,30768,
15,2015-07-01 00:00:00,Commonfloor,,,,Google Capital,Private Equity,5000000,3rd Round
16,2015-09-01 00:00:00,Sokrati,,,,"IvyCap Ventures, Inventus Capital",Private Equity,,Series B
17,2015-09-01 00:00:00,YepMe,,,,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,13000000,Series A
18,2015-09-01 00:00:00,TapCibo,,,,Alok Goel,Seed Funding,,
19,2015-12-01 00:00:00,Verayu,,,,"GWB Group, Blume Ventures",Private Equity,,
20,2015-12-01 00:00:00,MyDreamStore,,,,Undisclosed Investors,Seed Funding,290000,
21,13/01/2015,AppVirality,,,,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, TNN Capital & IIG",Seed Funding,,
22,14/01/2015,RateGain,,,,TA Associates,Private Equity,50000000,
23,15/01.2015,Wishberry,,,,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,650000,
24,16/01/2015,eKincare,,,,Adroitent Pvt. Ltd.,Seed Funding,161000,
25,18/01/2015,ShopClues,,,,Tiger Global & Other investors,Private Equity,100000000,More Details
26,19/01/2015,Refiral,,,,Cogent E Services,Seed Funding,330000,
27,19/01/2015,Ping Digital,,,,Consortium of Angel Investors,Seed Funding,,
28,19/01/2015,HealthyWorld.in,,,,Group of Angel Investors,Seed Funding,200000,
29,19/01/2015,Hostel Dunia,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000,
30,19/01/2015,Play your sport,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000,
31,19/01/2015,Yo Grad,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000,
32,19/01/2015,Enabli,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000,
33,19/01/2015,CBS,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,16000,
34,20/01/2015,Hopscotch,,,,Eduardo Saverin & Velos Capital,Private Equity,11000000,
35,20/01/2015,Amagi Media Labs,,,,Premji Invest & Mayfield Fund,Private Equity,,
36,20/01/2015,HealthyWorld.in,,,,Group of Angel Investors,Seed Funding,200000,
37,21/01/2015,Simplilearn,,,,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,14750000,
38,21/01/2015,MyDreamStore,,,,Undisclosed Investors,Seed Funding,325000,
39,21/05/2015,Knit,,,,"Rohit Jain, Amit Rambhia & Others",Seed Funding,,
40,21/05/2015,Villgro,,,,Michael & Susan Dell Foundation,Seed Funding,3250000,To fund edu startups
