startup_name,date,sector,sub_sector,city,investors,round_type,amount_usd,year,month
Byju’S,2020-01-09,E-Tech,E-learning,Bengaluru,Tiger Global Management,Other,200000000.0,2020.0,1.0
Shuttl,2020-01-13,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0,2020.0,1.0
Mamaearth,2020-01-09,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,2020.0,1.0
Https://Www.Wealthbucket.In/,2020-01-02,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-Series A,3000000.0,2020.0,1.0
Fashor,2020-01-02,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Other,1800000.0,2020.0,1.0
Pando,2020-01-13,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,2020.0,1.0
Zomato,2020-01-10,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Other,150000000.0,2020.0,1.0
Ecozen,2019-12-12,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019.0,12.0
Cardekho,2019-12-06,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,2019.0,12.0
Dhruva Space,2019-12-03,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019.0,12.0
Rivigo,2019-12-13,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Other,20000000.0,2019.0,12.0
Healthians,2019-12-17,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,2019.0,12.0
Licious,2019-12-16,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0,2019.0,12.0
Incred,2019-12-16,Finance,Non-Banking Financial Company,Mumbai,,Other,5900000.0,2019.0,12.0
Trell,2019-12-14,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Other,2000000.0,2019.0,12.0
Rein Games,2019-12-11,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Other,50000000.0,2019.0,12.0
Lenskart.Com,2019-12-20,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Other,231000000.0,2019.0,12.0
Freshworks,2019-11-13,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Other,150000000.0,2019.0,11.0
Misters,2019-11-14,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0,2019.0,11.0
Sunstone Eduversity Pvt. Ltd,2019-11-13,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019.0,11.0
Burger Singh,2019-11-17,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,2019.0,11.0
Healthians,2019-11-18,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,2019.0,11.0
Ninjacart,2019-11-15,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Other,26000000.0,2019.0,11.0
Aye Finance,2019-11-20,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Other,17411265.0,2019.0,11.0
Supergaming,2019-11-12,Video Games,Social gaming platform,Pune,Dream Incubator,Seed,1300000.0,2019.0,11.0
Clumio,2019-11-20,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,2019.0,11.0
Ebikego,2019-11-11,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,2019.0,11.0
Digital Mall Asia,2019-11-19,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed,220000000.0,2019.0,11.0
Medikabazaar,2019-11-18,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,2019.0,11.0
Vogo Automotive,2019-11-15,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2019.0,11.0
Furtados School Of Music,2019-11-19,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Other,200000000.0,2019.0,11.0
